No,Component,Pattern,Keywords,Description,Do,Don't,Code Example Good,Code Example Bad,Accessibility,Responsive,Severity
30,Navigation,Bottom Navigation,"bottom-nav, mobile-nav, tab-bar, footer-nav","Fixed bottom navigation bar for mobile-first apps with 3-5 main destinations","Limit to 3-5 items; use icon + label; highlight active item; fixed to bottom; use nav element","Show more than 5 items; use text-only without icons; hide labels completely; make it scrollable","<nav aria-label=""Main"" className=""fixed inset-x-0 bottom-0 z-40 border-t border-zinc-200 bg-white pb-safe dark:border-zinc-800 dark:bg-zinc-900""><ul className=""flex items-center justify-around px-2 py-1"">{items.map(item => (<li key={item.href}><a href={item.href} aria-current={item.active ? 'page' : undefined} className={`flex flex-col items-center gap-0.5 px-3 py-2 text-xs font-medium ${item.active ? 'text-blue-600' : 'text-zinc-500'}`}><item.icon className=""h-5 w-5"" /><span>{item.label}</span></a></li>))}</ul></nav>","<div className=""fixed bottom-0 w-full flex""><div onClick={goHome}><HomeIcon /></div><div onClick={goSearch}><SearchIcon /></div></div>","nav with aria-label; aria-current=page; icon + text label; keyboard accessible; safe area padding for notch devices","Only show on mobile (md:hidden); safe-area-inset-bottom padding; 3-5 items max; icon + label always",High
31,Table,Data Table,"table, data-grid, list-view, data-display","Standard data table for displaying structured tabular data with proper semantics","Use semantic table elements (table/thead/tbody/tr/th/td); add caption or aria-label; scope attributes on headers","Use divs for tabular data; skip thead; omit scope on headers; use tables for layout","<table className=""w-full text-sm""><caption className=""sr-only"">User list</caption><thead><tr className=""border-b border-zinc-200 text-left""><th scope=""col"" className=""px-4 py-3 font-medium text-zinc-500"">Name</th><th scope=""col"" className=""px-4 py-3 font-medium text-zinc-500"">Email</th><th scope=""col"" className=""px-4 py-3 font-medium text-zinc-500"">Role</th></tr></thead><tbody className=""divide-y divide-zinc-100"">{users.map(user => (<tr key={user.id} className=""hover:bg-zinc-50""><td className=""px-4 py-3 font-medium text-zinc-900"">{user.name}</td><td className=""px-4 py-3 text-zinc-600"">{user.email}</td><td className=""px-4 py-3 text-zinc-600"">{user.role}</td></tr>))}</tbody></table>","<div>{users.map(u => <div className=""flex""><span>{u.name}</span><span>{u.email}</span></div>)}</div>","Semantic table elements; caption or aria-label; scope=col/row on headers; screen readers announce cell position","Horizontal scroll with sticky first column on mobile; card layout alternative for narrow screens",Critical
32,Table,Sortable Table,"sortable, sort-column, order-by, column-sort","Table with clickable column headers to sort data ascending/descending","Use button inside th for sort triggers; show sort direction indicator; announce sort changes; use aria-sort","Sort without visual indicator; make entire header clickable without button semantics; lose sort state on re-render","<th scope=""col"" aria-sort={sortCol === 'name' ? sortDir : 'none'}><button onClick={() => handleSort('name')} className=""flex items-center gap-1 px-4 py-3 text-sm font-medium text-zinc-500 hover:text-zinc-900"">Name {sortCol === 'name' && (sortDir === 'ascending' ? <ChevronUpIcon className=""h-4 w-4"" /> : <ChevronDownIcon className=""h-4 w-4"" />)}</button></th>","<th onClick={() => sort('name')} className=""cursor-pointer"">Name {sorted && '▲'}</th>","aria-sort on th (ascending/descending/none); button element for sort trigger; announce sort change to screen readers","Prioritize sortable columns that fit on mobile; hide less important columns on small screens",High
33,Table,Filterable Table,"filter, search-table, column-filter, data-filter","Table with filtering capabilities to narrow down displayed data","Place filters above table; show active filter count; provide clear-all option; maintain filter state in URL","Hide filters behind multiple clicks; lose filter state on navigation; filter without feedback on result count","<div className=""space-y-4""><div className=""flex items-center gap-3""><div className=""relative flex-1""><MagnifyingGlassIcon className=""absolute left-3 top-1/2 h-4 w-4 -translate-y-1/2 text-zinc-400"" /><input type=""search"" placeholder=""Search users..."" aria-label=""Search users"" value={search} onChange={e => setSearch(e.target.value)} className=""w-full rounded-lg border border-zinc-300 py-2 pl-9 pr-3 text-sm"" /></div><select aria-label=""Filter by role"" value={roleFilter} onChange={e => setRoleFilter(e.target.value)} className=""rounded-lg border border-zinc-300 px-3 py-2 text-sm""><option value="""">All roles</option><option value=""admin"">Admin</option></select></div><p className=""text-sm text-zinc-500"">{filtered.length} results</p></div>","<table>{data.filter(magicFilter).map(...)}</table> // No UI for filtering, hidden logic","aria-label on filter inputs; announce result count changes with aria-live; filter controls labeled clearly","Stack filters vertically on mobile; collapsible filter panel; full-width search input",High
34,Table,Responsive Table,"responsive-table, mobile-table, overflow-table, scroll-table","Table that adapts to small screens without losing data or context","Use horizontal scroll container with sticky first column; or transform to card layout on mobile","Let table overflow without scroll; hide columns silently; force tiny font sizes on mobile","<div className=""overflow-x-auto rounded-lg border border-zinc-200""><table className=""w-full min-w-[640px] text-sm""><thead><tr className=""border-b bg-zinc-50""><th className=""sticky left-0 z-10 bg-zinc-50 px-4 py-3 text-left font-medium text-zinc-500"">Name</th><th className=""px-4 py-3 text-left font-medium text-zinc-500"">Email</th><th className=""px-4 py-3 text-left font-medium text-zinc-500"">Status</th></tr></thead><tbody>{/* rows */}</tbody></table></div>","<table className=""text-[8px]"">{/* Tiny unreadable table */}</table>","Sticky column remains accessible; scroll indicator for horizontal overflow; announce table dimensions","Horizontal scroll with shadow indicators; sticky first column; or card layout transformation below md",Critical
35,Table,Row Selection,"selectable, checkbox-table, multi-select-table, batch-actions","Table with row selection checkboxes for batch operations on multiple items","Provide select-all checkbox in header; show selected count; display batch action bar; use aria-selected","Mix selection with row click navigation; forget select-all; lose selection state on sort/filter","<thead><tr><th scope=""col"" className=""w-12 px-4 py-3""><input type=""checkbox"" aria-label=""Select all rows"" checked={allSelected} onChange={toggleAll} className=""h-4 w-4 rounded border-zinc-300"" /></th><th scope=""col"" className=""px-4 py-3 font-medium"">Name</th></tr></thead><tbody>{users.map(user => (<tr key={user.id} aria-selected={selected.includes(user.id)} className={selected.includes(user.id) ? 'bg-blue-50' : ''}><td className=""px-4 py-3""><input type=""checkbox"" aria-label={`Select ${user.name}`} checked={selected.includes(user.id)} onChange={() => toggleRow(user.id)} className=""h-4 w-4 rounded border-zinc-300"" /></td><td className=""px-4 py-3"">{user.name}</td></tr>))}</tbody>","<tr onClick={() => toggleSelect(id)}><td>{name}</td></tr> // Click-only selection, no checkboxes","aria-selected on rows; labeled checkboxes; select-all with aria-label; announce selection count changes","Checkbox column always visible; batch action bar fixed on mobile; adequate tap targets for checkboxes",High
36,Toast,Success Toast,"success, notification, confirmation, positive-feedback","Success notification toast for confirming completed actions","Auto-dismiss after 3-5 seconds; show at consistent position; include close button; use green/check styling","Block user interaction; show indefinitely for success; stack unlimited toasts; use only color to convey meaning","<div role=""status"" aria-live=""polite"" className=""flex items-center gap-3 rounded-lg border border-green-200 bg-green-50 px-4 py-3 shadow-lg dark:border-green-800 dark:bg-green-900/50""><CheckCircleIcon className=""h-5 w-5 shrink-0 text-green-600"" /><p className=""text-sm font-medium text-green-800 dark:text-green-200"">Changes saved successfully</p><button onClick={onDismiss} aria-label=""Dismiss notification"" className=""ml-auto shrink-0 rounded-lg p-1 text-green-600 hover:bg-green-100""><XMarkIcon className=""h-4 w-4"" /></button></div>","<div className=""bg-green-500 text-white p-2"">Saved!</div>","role=status; aria-live=polite; not just color (icon + text); close button with aria-label; announce to screen readers","Fixed position (top-right on desktop, top-center on mobile); adequate width; swipe to dismiss on mobile",High
37,Toast,Error Toast,"error, failure, error-notification, critical-alert","Error notification toast for communicating failures that need user attention","Do not auto-dismiss errors; require explicit close; provide actionable message; use red/error styling with icon","Auto-dismiss error messages; show vague error text; use only color without icon or text explanation","<div role=""alert"" className=""flex items-center gap-3 rounded-lg border border-red-200 bg-red-50 px-4 py-3 shadow-lg dark:border-red-800 dark:bg-red-900/50""><XCircleIcon className=""h-5 w-5 shrink-0 text-red-600"" /><div className=""flex-1""><p className=""text-sm font-medium text-red-800 dark:text-red-200"">Payment failed</p><p className=""mt-1 text-xs text-red-700 dark:text-red-300"">Please check your card details and try again.</p></div><button onClick={onDismiss} aria-label=""Dismiss error"" className=""shrink-0 rounded-lg p-1 text-red-600 hover:bg-red-100""><XMarkIcon className=""h-4 w-4"" /></button></div>","<div className=""bg-red-500 text-white p-2"" onClick={() => setTimeout(hide, 3000)}>Error!</div>","role=alert for immediate announcement; do NOT auto-dismiss; descriptive message; close button with aria-label","Persistent on screen; full-width on mobile; adequate padding for readability; retry action if applicable",Critical
38,Toast,Warning Toast,"warning, caution, attention, advisory","Warning notification for situations requiring user awareness but not immediate failure","Use amber/yellow styling with warning icon; auto-dismiss in 5-8 seconds or keep persistent for important warnings; include action if applicable","Treat warnings same as errors; use alarming language for minor issues; dismiss too quickly","<div role=""status"" aria-live=""polite"" className=""flex items-center gap-3 rounded-lg border border-amber-200 bg-amber-50 px-4 py-3 shadow-lg dark:border-amber-800 dark:bg-amber-900/50""><ExclamationTriangleIcon className=""h-5 w-5 shrink-0 text-amber-600"" /><div className=""flex-1""><p className=""text-sm font-medium text-amber-800 dark:text-amber-200"">Your session expires in 5 minutes</p></div><button onClick={onExtend} className=""shrink-0 rounded-lg bg-amber-600 px-3 py-1.5 text-xs font-medium text-white hover:bg-amber-500"">Extend</button><button onClick={onDismiss} aria-label=""Dismiss warning"" className=""shrink-0 rounded-lg p-1 text-amber-600 hover:bg-amber-100""><XMarkIcon className=""h-4 w-4"" /></button></div>","<div className=""bg-yellow-500 p-2"">Warning</div>","role=status; aria-live=polite; icon + text (not color-only); actionable when possible","Full-width on mobile; action button easily tappable; adequate contrast for amber on white background",Medium
39,Toast,Info Toast,"info, notice, informational, neutral-notification","Informational notification for non-critical updates and general messages","Auto-dismiss in 5 seconds; use blue/neutral styling; keep message concise; position consistently with other toasts","Use info toasts for critical information; overuse for trivial updates; block user interaction","<div role=""status"" aria-live=""polite"" className=""flex items-center gap-3 rounded-lg border border-blue-200 bg-blue-50 px-4 py-3 shadow-lg dark:border-blue-800 dark:bg-blue-900/50""><InformationCircleIcon className=""h-5 w-5 shrink-0 text-blue-600"" /><p className=""text-sm font-medium text-blue-800 dark:text-blue-200"">New version available. Refresh to update.</p><button onClick={onDismiss} aria-label=""Dismiss notification"" className=""ml-auto shrink-0 rounded-lg p-1 text-blue-600 hover:bg-blue-100""><XMarkIcon className=""h-4 w-4"" /></button></div>","<div className=""bg-blue-500 text-white p-2"">Info</div>","role=status; aria-live=polite; icon + text; close button with aria-label","Same positioning as other toasts; auto-dismiss appropriate; swipe to dismiss on mobile",Medium
40,Dropdown,Dropdown Menu,"dropdown, menu, action-menu, overflow-menu","Dropdown menu triggered by a button showing a list of actions or options","Use button trigger with aria-expanded; role=menu on container; role=menuitem on items; arrow key navigation; close on Escape","Open on hover without click option; forget to close on outside click; skip keyboard navigation","<div className=""relative""><button id=""menu-btn"" aria-haspopup=""true"" aria-expanded={open} onClick={() => setOpen(prev => !prev)} className=""rounded-lg border border-zinc-300 px-4 py-2 text-sm font-medium hover:bg-zinc-50"">Options <ChevronDownIcon className=""ml-1 inline h-4 w-4"" /></button>{open && (<div role=""menu"" aria-labelledby=""menu-btn"" className=""absolute right-0 z-10 mt-1 w-48 rounded-lg border border-zinc-200 bg-white py-1 shadow-lg""><button role=""menuitem"" tabIndex={-1} className=""w-full px-4 py-2 text-left text-sm text-zinc-700 hover:bg-zinc-100"">Edit</button><button role=""menuitem"" tabIndex={-1} className=""w-full px-4 py-2 text-left text-sm text-red-600 hover:bg-red-50"">Delete</button></div>)}</div>","<div onMouseEnter={open}><span>Options</span><div className=""absolute"">{items.map(i => <div onClick={i.action}>{i.label}</div>)}</div></div>","aria-haspopup; aria-expanded; role=menu/menuitem; arrow key navigation; Escape to close; focus first item on open","Position menu to stay within viewport; full-width on mobile if needed; adequate tap targets for menu items",Critical
41,Dropdown,Context Menu,"context-menu, right-click, contextual-actions","Context menu appearing on right-click or long-press for contextual actions","Use role=menu; position at cursor; close on outside click/Escape; provide keyboard alternative via button","Replace browser context menu entirely; forget to provide non-right-click alternative","<div onContextMenu={(e) => { e.preventDefault(); setMenuPos({ x: e.clientX, y: e.clientY }); setShowMenu(true); }}>{children}{showMenu && (<div role=""menu"" style={{ position: 'fixed', left: menuPos.x, top: menuPos.y }} className=""z-50 w-48 rounded-lg border border-zinc-200 bg-white py-1 shadow-lg""><button role=""menuitem"" className=""w-full px-4 py-2 text-left text-sm hover:bg-zinc-100"">Copy</button><button role=""menuitem"" className=""w-full px-4 py-2 text-left text-sm hover:bg-zinc-100"">Paste</button></div>)}</div>","<div onContextMenu={showCustomMenu}>{children}<div className=""absolute"">{items.map(i => <div>{i}</div>)}</div></div>","role=menu/menuitem; position within viewport; keyboard accessible alternative; Escape to close","Long-press trigger on touch devices; position within viewport bounds; adequate item height for touch",Medium
42,Dropdown,Combobox,"combobox, autocomplete, typeahead, searchable-select","Searchable select input combining text input with filtered dropdown list","Use role=combobox; aria-autocomplete; filter options as user types; highlight matching text; keyboard navigation","Open dropdown without filtering; ignore keyboard navigation; lose focus on selection","<div className=""relative""><input role=""combobox"" aria-expanded={open} aria-controls=""listbox-options"" aria-autocomplete=""list"" aria-activedescendant={activeId} value={query} onChange={e => setQuery(e.target.value)} onFocus={() => setOpen(true)} className=""w-full rounded-lg border border-zinc-300 px-3 py-2 text-sm"" />{open && filtered.length > 0 && (<ul id=""listbox-options"" role=""listbox"" className=""absolute z-10 mt-1 max-h-60 w-full overflow-auto rounded-lg border border-zinc-200 bg-white py-1 shadow-lg"">{filtered.map((opt, i) => (<li key={opt.id} id={`option-${opt.id}`} role=""option"" aria-selected={i === activeIndex} className={`px-3 py-2 text-sm cursor-pointer ${i === activeIndex ? 'bg-blue-50 text-blue-600' : 'text-zinc-700 hover:bg-zinc-50'}`} onClick={() => selectOption(opt)}>{opt.label}</li>))}</ul>)}</div>","<input onChange={e => setFilter(e.target.value)} /><div>{options.filter(o => o.includes(filter)).map(o => <div onClick={() => pick(o)}>{o}</div>)}</div>","role=combobox; aria-expanded; aria-autocomplete; role=listbox/option; aria-activedescendant; arrow keys + Enter to select","Full-width on mobile; dropdown max-height with scroll; virtual keyboard should not obscure options",Critical
43,Dropdown,Multi-Select,"multi-select, tag-select, multi-choice, checkbox-select","Dropdown allowing multiple selections displayed as tags/chips in the input area","Show selected items as removable tags; provide select-all option; show count for many selections; checkbox per option","Auto-close on each selection; hide selected items; no way to clear all selections","<div className=""rounded-lg border border-zinc-300 p-2""><div className=""flex flex-wrap gap-1"">{selected.map(item => (<span key={item.id} className=""inline-flex items-center gap-1 rounded-full bg-blue-100 px-2 py-0.5 text-xs font-medium text-blue-700""><span>{item.label}</span><button onClick={() => removeItem(item.id)} aria-label={`Remove ${item.label}`} className=""rounded-full p-0.5 hover:bg-blue-200""><XMarkIcon className=""h-3 w-3"" /></button></span>))}<input placeholder={selected.length === 0 ? 'Select items...' : ''} value={query} onChange={e => setQuery(e.target.value)} className=""min-w-[120px] flex-1 border-0 p-1 text-sm outline-none"" /></div></div>","<select multiple className=""border p-2"">{options.map(o => <option>{o}</option>)}</select>","Remove buttons with aria-label per tag; combobox ARIA pattern; announce selection changes; keyboard removable tags","Tags wrap naturally; adequate tap targets for remove buttons; dropdown within viewport",High
44,Avatar,User Avatar,"avatar, profile-image, user-icon, user-photo","User avatar displaying profile image with fallback to initials or default icon","Provide fallback for missing images; use consistent sizing; add alt text; show initials as fallback","Stretch non-square images; skip fallback; use low-res images at large sizes; forget alt text","<div className=""relative h-10 w-10 shrink-0 overflow-hidden rounded-full bg-zinc-200 dark:bg-zinc-700""><img src={user.avatarUrl} alt={user.name} className=""h-full w-full object-cover"" onError={(e) => { e.currentTarget.style.display = 'none'; }} /><span aria-hidden=""true"" className=""absolute inset-0 flex items-center justify-center text-sm font-medium text-zinc-600 dark:text-zinc-300"">{user.name.slice(0, 2).toUpperCase()}</span></div>","<img src={avatarUrl} className=""w-10 h-10 rounded-full"" />","alt text with user name; aria-hidden on decorative fallback; role=img if using div-based avatar","Consistent sizes (24/32/40/48px); adequate resolution for retina; flexible for touch targets when clickable",Medium
45,Avatar,Status Badge,"status-badge, online-indicator, presence, availability","Small status indicator dot overlaid on avatar showing user availability or state","Position consistently (bottom-right); use semantic colors (green=online, gray=offline); add sr-only label","Rely only on color for meaning; make badge too small; skip screen reader label","<div className=""relative inline-block""><img src={avatarUrl} alt={user.name} className=""h-10 w-10 rounded-full"" /><span className={`absolute bottom-0 right-0 block h-3 w-3 rounded-full ring-2 ring-white ${status === 'online' ? 'bg-green-500' : status === 'away' ? 'bg-amber-500' : 'bg-zinc-400'}`}><span className=""sr-only"">{status === 'online' ? 'Online' : status === 'away' ? 'Away' : 'Offline'}</span></span></div>","<div className=""relative""><img src={avatarUrl} className=""rounded-full"" /><div className=""absolute bottom-0 right-0 w-2 h-2 bg-green-500 rounded-full"" /></div>","sr-only text describing status; not color-only (screen reader label); ring for visibility against backgrounds","Badge scales with avatar size; visible on both light and dark backgrounds; adequate contrast",Medium
46,Avatar,Notification Badge,"notification-badge, count-badge, alert-badge, unread-count","Numeric or dot badge showing notification count or unread items on icons or avatars","Show count for small numbers (1-99); show 99+ for large counts; use dot for boolean unread state; position top-right","Show exact large numbers (1234); make badge too small to read; skip screen reader announcement","<button aria-label={`Notifications, ${count} unread`} className=""relative rounded-lg p-2 text-zinc-500 hover:bg-zinc-100 hover:text-zinc-700""><BellIcon className=""h-6 w-6"" />{count > 0 && (<span aria-hidden=""true"" className=""absolute -right-0.5 -top-0.5 flex h-5 min-w-[20px] items-center justify-center rounded-full bg-red-500 px-1 text-xs font-bold text-white"">{count > 99 ? '99+' : count}</span>)}</button>","<div className=""relative""><BellIcon /><span className=""absolute -top-1 -right-1 bg-red-500 text-white text-[8px] rounded-full px-0.5"">{count}</span></div>","Count in aria-label of parent; aria-hidden on visual badge; announce changes with aria-live for real-time updates","Min badge size 20px; readable font size; consistent positioning across different icon sizes",High
47,Tooltip,Basic Tooltip,"tooltip, hint, hover-info, title-popup","Small tooltip appearing on hover/focus to provide additional context for an element","Show on hover and focus; position to stay in viewport; delay show by 200-300ms; hide immediately on leave; keep concise","Use tooltips for essential information; show on click blocking the element; make tooltips too long; nest interactive content","<div className=""group relative inline-block""><button aria-describedby=""tooltip-1"" className=""rounded-lg p-2 text-zinc-500 hover:text-zinc-700""><QuestionMarkCircleIcon className=""h-5 w-5"" /></button><div id=""tooltip-1"" role=""tooltip"" className=""invisible absolute bottom-full left-1/2 z-10 mb-2 -translate-x-1/2 rounded-lg bg-zinc-900 px-3 py-1.5 text-xs text-white opacity-0 shadow-lg transition-opacity group-hover:visible group-hover:opacity-100 group-focus-within:visible group-focus-within:opacity-100""><span>Additional information about this field</span><div className=""absolute left-1/2 top-full -translate-x-1/2 border-4 border-transparent border-t-zinc-900"" /></div></div>","<span title=""info"">Hover me</span> // Native title with no styling or ARIA","role=tooltip; aria-describedby linking trigger to tooltip; show on focus for keyboard; concise text only","Position to stay within viewport; consider replacing with inline text on mobile (no hover); touch-friendly alternative",Medium
48,Tooltip,Popover,"popover, info-panel, detail-popup, rich-tooltip","Rich popover with structured content appearing on click for more detailed information","Trigger on click (not hover); include close button; trap focus if interactive; position within viewport","Open on hover for complex content; forget close mechanism; allow overflow off-screen","<div className=""relative""><button aria-expanded={open} aria-controls=""popover-1"" onClick={() => setOpen(prev => !prev)} className=""rounded-lg border border-zinc-300 px-3 py-2 text-sm"">More info</button>{open && (<div id=""popover-1"" role=""dialog"" aria-label=""Additional details"" className=""absolute left-0 z-10 mt-2 w-72 rounded-xl border border-zinc-200 bg-white p-4 shadow-xl dark:border-zinc-700 dark:bg-zinc-900""><h3 className=""text-sm font-semibold"">Details</h3><p className=""mt-2 text-sm text-zinc-600"">Detailed information with links and formatting.</p><button onClick={() => setOpen(false)} className=""mt-3 text-sm font-medium text-blue-600 hover:text-blue-500"">Got it</button></div>)}</div>","<div onMouseEnter={open}><span>Hover for details</span><div className=""absolute"">{complexContent}</div></div>","role=dialog for interactive popovers; aria-expanded on trigger; aria-controls; close on Escape; focus management","Position within viewport; consider full-width on mobile; close button easily tappable",High
49,Tooltip,Info Tooltip,"info-icon, help-text, contextual-help, field-help","Small info icon with tooltip for contextual help text next to form fields or labels","Place next to the label it describes; use question mark or info icon; keep help text concise; trigger on hover and focus","Replace labels with info tooltips; hide critical instructions in tooltips; make tooltips the only way to learn usage","<label className=""flex items-center gap-1.5 text-sm font-medium text-zinc-700"">API Key <button aria-describedby=""api-key-help"" className=""rounded-full text-zinc-400 hover:text-zinc-600 focus:outline-none focus-visible:ring-2 focus-visible:ring-blue-500""><InformationCircleIcon className=""h-4 w-4"" /></button><div id=""api-key-help"" role=""tooltip"" className=""hidden absolute z-10 rounded-lg bg-zinc-900 px-3 py-2 text-xs text-white shadow-lg"">Find your API key in Settings &gt; Developer &gt; API Keys</div></label>","<label>API Key <span title=""help"">?</span></label>","aria-describedby linking icon to tooltip; role=tooltip; show on focus; icon is focusable button","Touch-friendly alternative: tap to show/hide; or always-visible hint text on mobile; adequate tap target for icon",Medium
50,Skeleton,Skeleton Card,"skeleton, placeholder, loading-card, shimmer","Skeleton loading placeholder mimicking card layout while content loads","Match skeleton to actual content layout; use subtle animation (pulse or shimmer); show for predictable loading times","Show spinning loader instead of skeleton; mismatch skeleton with actual layout; flash skeleton for fast loads","<div className=""animate-pulse rounded-xl border border-zinc-200 bg-white p-6 dark:border-zinc-800 dark:bg-zinc-900""><div className=""h-4 w-3/4 rounded bg-zinc-200 dark:bg-zinc-700"" /><div className=""mt-3 h-3 w-full rounded bg-zinc-200 dark:bg-zinc-700"" /><div className=""mt-2 h-3 w-5/6 rounded bg-zinc-200 dark:bg-zinc-700"" /><div className=""mt-4 flex items-center gap-3""><div className=""h-8 w-8 rounded-full bg-zinc-200 dark:bg-zinc-700"" /><div className=""h-3 w-24 rounded bg-zinc-200 dark:bg-zinc-700"" /></div></div>","<div className=""flex items-center justify-center h-40""><Spinner /></div>","aria-busy=true on container; aria-label describing loading state; hide from screen readers or announce loading","Same dimensions as actual content to prevent layout shift; match responsive layout of real content",High
51,Skeleton,Skeleton Text,"skeleton-text, text-placeholder, line-skeleton, paragraph-skeleton","Skeleton lines mimicking text content while loading paragraphs or descriptions","Vary line widths to look natural; match actual text size and spacing; use consistent border-radius","Make all skeleton lines same width; use incorrect spacing; skip animation","<div aria-busy=""true"" aria-label=""Loading content"" className=""animate-pulse space-y-3""><div className=""h-5 w-2/3 rounded bg-zinc-200 dark:bg-zinc-700"" /><div className=""space-y-2""><div className=""h-3 w-full rounded bg-zinc-200 dark:bg-zinc-700"" /><div className=""h-3 w-full rounded bg-zinc-200 dark:bg-zinc-700"" /><div className=""h-3 w-4/5 rounded bg-zinc-200 dark:bg-zinc-700"" /></div></div>","<div><div className=""bg-gray-300 h-4 w-full mb-2"" /><div className=""bg-gray-300 h-4 w-full mb-2"" /><div className=""bg-gray-300 h-4 w-full"" /></div>","aria-busy=true; aria-label; consistent animation that does not distract; hide individual lines from screen readers","Match real text layout; line heights consistent with actual typography; responsive widths",Medium
52,Skeleton,Loading Overlay,"loading-overlay, spinner-overlay, blocking-loader, full-page-loading","Full-screen or section-level loading overlay for blocking operations","Use semi-transparent backdrop; show spinner or progress indicator; prevent interaction with underlying content; provide status text","Block without any visual indicator; trap focus permanently; show overlay for non-blocking operations","<div aria-busy=""true"" className=""relative""><div className=""pointer-events-none opacity-50"">{children}</div><div className=""absolute inset-0 flex flex-col items-center justify-center""><svg className=""h-8 w-8 animate-spin text-blue-600"" viewBox=""0 0 24 24""><circle className=""opacity-25"" cx=""12"" cy=""12"" r=""10"" stroke=""currentColor"" strokeWidth=""4"" fill=""none"" /><path className=""opacity-75"" fill=""currentColor"" d=""M4 12a8 8 0 018-8V0C5.373 0 0 5.373 0 12h4z"" /></svg><p className=""mt-3 text-sm font-medium text-zinc-600"">Processing...</p></div></div>","<div style={{display: loading ? 'block' : 'none'}} className=""fixed inset-0 bg-black/80 z-[9999]""><div className=""animate-spin"">Loading</div></div>","aria-busy=true on container; status text for screen readers; focus management prevents interaction behind overlay","Centered on viewport; readable status text; does not block critical navigation (like back button) on mobile",High
53,Accordion,Single Expand,"accordion, collapsible, expandable, single-panel","Accordion where only one panel can be expanded at a time, collapsing others","Use details/summary or custom with proper ARIA; animate open/close; show expand indicator; maintain focus on toggle","Allow all panels open simultaneously when single-expand is intended; lose scroll position on collapse","<div className=""divide-y divide-zinc-200 rounded-xl border border-zinc-200 dark:divide-zinc-700 dark:border-zinc-700"">{items.map(item => (<div key={item.id}><button aria-expanded={expanded === item.id} aria-controls={`panel-${item.id}`} onClick={() => setExpanded(prev => prev === item.id ? null : item.id)} className=""flex w-full items-center justify-between px-4 py-3 text-left text-sm font-medium text-zinc-900 hover:bg-zinc-50""><span>{item.title}</span><ChevronDownIcon className={`h-4 w-4 transition-transform ${expanded === item.id ? 'rotate-180' : ''}`} /></button>{expanded === item.id && (<div id={`panel-${item.id}`} role=""region"" aria-labelledby={`heading-${item.id}`} className=""px-4 pb-4 text-sm text-zinc-600"">{item.content}</div>)}</div>))}</div>","<div>{items.map(i => <div><div onClick={() => toggle(i)}>{i.title}</div>{open === i && <div>{i.content}</div>}</div>)}</div>","aria-expanded on trigger; aria-controls linking to panel; role=region on panel; Enter/Space to toggle; focus stays on trigger","Full-width on all screens; smooth animation; adequate padding for touch targets on toggle buttons",High
54,Accordion,Multi Expand,"multi-accordion, independent-panels, toggle-panels","Accordion where multiple panels can be expanded independently of each other","Allow any combination of open/closed panels; maintain individual state per panel; use Set or object for state","Use single-expand logic for multi-expand; re-render all panels on one toggle","<div className=""space-y-2"">{items.map(item => { const isOpen = expandedSet.has(item.id); return (<div key={item.id} className=""rounded-lg border border-zinc-200 dark:border-zinc-700""><button aria-expanded={isOpen} aria-controls={`panel-${item.id}`} onClick={() => setExpandedSet(prev => { const next = new Set(prev); next.has(item.id) ? next.delete(item.id) : next.add(item.id); return next; })} className=""flex w-full items-center justify-between px-4 py-3 text-left text-sm font-medium hover:bg-zinc-50""><span>{item.title}</span><ChevronDownIcon className={`h-4 w-4 transition-transform ${isOpen ? 'rotate-180' : ''}`} /></button>{isOpen && (<div id={`panel-${item.id}`} role=""region"" className=""px-4 pb-4 text-sm text-zinc-600"">{item.content}</div>)}</div>); })}</div>","<div>{items.map(i => <div><div onClick={() => { expanded[i.id] = !expanded[i.id]; setExpanded(expanded); }}>{i.title}</div></div>)}</div> // Mutation!","Same ARIA as single-expand; each panel independent; aria-expanded per button; keyboard Enter/Space toggles","Same responsive behavior as single accordion; panels stack naturally; smooth individual animations",Medium
55,Accordion,FAQ Accordion,"faq, questions, help-section, knowledge-base","Structured FAQ section using accordion pattern for common questions and answers","Use structured data (schema.org FAQ); organize by category; include search for large FAQs; link to individual questions","Dump all FAQs in a single flat list; skip structured data; hide critical information in collapsed panels","<section aria-label=""Frequently asked questions""><h2 className=""text-2xl font-bold text-zinc-900"">FAQ</h2><div className=""mt-6 divide-y divide-zinc-200"" itemScope itemType=""https://schema.org/FAQPage"">{faqs.map(faq => (<div key={faq.id} itemScope itemProp=""mainEntity"" itemType=""https://schema.org/Question""><button aria-expanded={expanded === faq.id} onClick={() => toggle(faq.id)} className=""flex w-full items-center justify-between py-4 text-left""><span itemProp=""name"" className=""text-sm font-medium text-zinc-900"">{faq.question}</span><ChevronDownIcon className={`h-4 w-4 shrink-0 transition-transform ${expanded === faq.id ? 'rotate-180' : ''}`} /></button>{expanded === faq.id && (<div itemScope itemProp=""acceptedAnswer"" itemType=""https://schema.org/Answer""><div itemProp=""text"" className=""pb-4 text-sm text-zinc-600"">{faq.answer}</div></div>)}</div>))}</div></section>","<div>{faqs.map(f => <details><summary>{f.q}</summary>{f.a}</details>)}</div> // No structured data, no styling","Semantic accordion ARIA; structured data for SEO; search/filter for large lists; deep-linkable questions","Full-width; adequate line-height for readability; touch-friendly toggle areas; smooth expand/collapse",Medium
